id,timestamp,track_id,object_type,zone,risk_level,event_type
519,2026-06-29T11:43:09,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
518,2026-06-29T11:43:06,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
517,2026-06-29T11:42:50,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
516,2026-06-29T11:42:50,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
515,2026-06-29T11:42:35,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
514,2026-06-29T11:42:33,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
513,2026-06-29T11:42:16,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
512,2026-06-29T11:42:16,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
511,2026-06-29T11:42:03,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
510,2026-06-29T11:42:01,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
509,2026-06-29T11:41:45,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
508,2026-06-29T11:41:43,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
507,2026-06-29T11:41:27,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
506,2026-06-29T11:41:27,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
505,2026-06-29T11:41:10,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
504,2026-06-29T11:41:10,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
503,2026-06-29T11:40:54,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
502,2026-06-29T11:40:54,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
501,2026-06-29T11:40:41,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
500,2026-06-29T11:40:37,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
499,2026-06-29T11:40:21,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
498,2026-06-29T11:40:21,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
497,2026-06-29T11:40:06,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
496,2026-06-29T11:40:04,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
495,2026-06-29T11:39:48,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
494,2026-06-29T11:39:48,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
493,2026-06-29T11:39:32,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
492,2026-06-29T11:39:31,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
491,2026-06-29T11:39:15,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
490,2026-06-29T11:39:15,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
489,2026-06-29T11:38:58,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
488,2026-06-29T11:38:58,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
487,2026-06-29T11:38:42,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
486,2026-06-29T11:38:42,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
485,2026-06-29T11:38:25,5,Pedestrian,Door safety zone,MEDIUM,Pedestrian near door
484,2026-06-29T11:38:25,12,Motorcycle,Left blind spot,HIGH,Blind spot intrusion
