bus_id,route_id,capacity,occupancy_pct,status
BUS-001,A,90,52,MODERATE
BUS-002,A,90,67,MODERATE
BUS-003,A,90,81,HIGH
BUS-004,A,90,72,MODERATE
BUS-005,A,90,86,HIGH
BUS-006,B,90,38,LOW
BUS-007,B,90,44,LOW
BUS-008,B,90,52,MODERATE
BUS-009,B,90,36,LOW
BUS-010,B,90,41,LOW
BUS-011,B,90,63,MODERATE
BUS-012,B,90,58,MODERATE
BUS-013,C,90,72,MODERATE
BUS-014,C,90,80,HIGH
BUS-015,C,90,68,MODERATE
BUS-016,C,90,70,MODERATE
BUS-017,D,90,79,HIGH
BUS-018,D,90,58,MODERATE
BUS-019,D,90,61,MODERATE
BUS-020,D,90,88,HIGH
BUS-021,D,90,72,MODERATE
BUS-022,D,90,60,MODERATE
BUS-023,A,90,84,HIGH
BUS-024,B,90,35,LOW
